"","Ventas","tasa_intervencion","InflacionIPC","TRM","Índice de confianza del consumidor (ICC)","dummy_dic","dummy_pan"
"Ventas",1,0.314445980100267,0.253760624444639,0.356049392199532,-0.306517521451065,0.54804428849369,-0.520103187044899
"tasa_intervencion",0.314445980100267,1,0.824931768702803,0.687919941129453,-0.47238857644986,0.0436761972961658,-0.277796353973812
"InflacionIPC",0.253760624444639,0.824931768702803,1,0.674036327508462,-0.585929457127213,0.0341717308897401,-0.249456929011617
"TRM",0.356049392199532,0.687919941129453,0.674036327508462,1,-0.656412103722719,0.0791862762849727,-0.0911017737589011
"Índice de confianza del consumidor (ICC)",-0.306517521451065,-0.47238857644986,-0.585929457127213,-0.656412103722719,1,-0.0761158242205178,-0.155026247196576
"dummy_dic",0.54804428849369,0.0436761972961658,0.0341717308897401,0.0791862762849727,-0.0761158242205178,1,-0.075
"dummy_pan",-0.520103187044899,-0.277796353973812,-0.249456929011617,-0.0911017737589011,-0.155026247196576,-0.075,1
