"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Fecha",1,86,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Ventas",2,86,111.936627906977,17.631699234815,112.175,111.703714285714,14.277438,52.32,168.36,116.04,0.0172831109005716,1.47468848774938,1.90127502477905
"tasa_intervencion",3,86,6.8546511627907,4.07024083625481,6,6.71071428571429,5.1891,1.75,13.25,11.5,0.306662654068109,-1.39421564723725,0.438905356979239
"InflacionIPC",4,86,5.9393023255814,3.56601797715691,4.32,5.63585714285714,2.438877,1.49,13.34,11.85,0.744711747249683,-0.793041285537483,0.384533607770146
"dummy_dic",5,86,0.0697674418604651,0.256248853055389,0,0,0,0,1,1,3.31888200789883,9.12144515053182,0.027632024455163
"dummy_pan",6,86,0.0697674418604651,0.256248853055389,0,0,0,0,1,1,3.31888200789883,9.12144515053182,0.027632024455163
"TRM",7,86,3927.48476744186,418.085936574898,3928.08,3917.56985714286,313.896072,3077.35,5061.21,1983.86,0.244712172402843,-0.0722496484995458,45.0833659782282
"Índice de confianza del consumidor (ICC)",8,86,98.9808001162791,1.10185252559229,98.848065,98.9978935714286,0.801953165999995,96.75944,100.9287,4.16926000000001,0.0706868655299304,-0.594236759650221,0.118815813495829
